id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,span volume,92,35,8,49,447,ship,baseline,monotonic-signal
g002,latency skew,112,26,30,86,436,ship,edge,drag-penalty
g003,signal loss,81,24,21,28,295,ship,recovery,confidence-floor
g004,incident shape,113,61,39,42,421,ship,negative,lane-boundary
g005,span volume,89,47,29,53,358,ship,baseline,monotonic-signal
g006,latency skew,36,42,4,63,271,ship,edge,drag-penalty
g007,signal loss,57,42,35,73,210,ship,recovery,confidence-floor
g008,incident shape,115,10,10,82,512,ship,negative,lane-boundary
g009,span volume,60,31,20,91,293,ship,baseline,monotonic-signal
g010,latency skew,80,9,27,57,260,ship,edge,drag-penalty
g011,signal loss,49,71,11,88,371,ship,recovery,confidence-floor
g012,incident shape,81,34,4,22,394,ship,negative,lane-boundary
g013,span volume,101,53,16,79,509,ship,baseline,monotonic-signal
g014,latency skew,70,30,10,69,359,ship,edge,drag-penalty
g015,signal loss,102,56,29,69,444,ship,recovery,confidence-floor
g016,incident shape,78,37,19,30,321,ship,negative,lane-boundary
g017,span volume,69,65,37,58,279,ship,baseline,monotonic-signal
g018,latency skew,112,46,26,34,444,ship,edge,drag-penalty
g019,signal loss,93,74,43,69,374,ship,recovery,confidence-floor
g020,incident shape,87,56,11,48,453,ship,negative,lane-boundary
g021,span volume,88,49,18,85,445,ship,baseline,monotonic-signal
g022,latency skew,92,48,44,27,271,ship,edge,drag-penalty
g023,signal loss,53,50,37,41,168,watch,recovery,confidence-floor
g024,incident shape,37,54,35,52,133,watch,negative,lane-boundary
g025,span volume,77,34,15,62,363,ship,baseline,monotonic-signal
g026,latency skew,56,16,6,72,298,ship,edge,drag-penalty
g027,signal loss,49,9,24,81,175,watch,recovery,confidence-floor
g028,incident shape,49,43,14,90,302,ship,negative,lane-boundary
g029,span volume,97,63,31,56,415,ship,baseline,monotonic-signal
g030,latency skew,80,40,20,87,387,ship,edge,drag-penalty
g031,signal loss,75,31,37,21,198,ship,recovery,confidence-floor
g032,incident shape,45,29,5,78,291,ship,negative,lane-boundary
g033,span volume,65,66,12,68,400,ship,baseline,monotonic-signal
g034,latency skew,34,52,38,68,118,hold,edge,drag-penalty
g035,signal loss,66,47,31,29,232,ship,recovery,confidence-floor
g036,incident shape,42,47,43,57,104,hold,negative,lane-boundary
g037,span volume,77,15,37,33,186,ship,baseline,monotonic-signal
g038,latency skew,98,36,14,68,462,ship,edge,drag-penalty
g039,signal loss,68,14,4,47,327,ship,recovery,confidence-floor
g040,incident shape,101,76,22,84,530,ship,negative,lane-boundary
g041,span volume,33,39,11,26,181,watch,baseline,monotonic-signal
g042,latency skew,90,58,28,40,376,ship,edge,drag-penalty
g043,signal loss,34,35,38,51,67,hold,recovery,confidence-floor
g044,incident shape,54,61,45,61,174,watch,negative,lane-boundary
g045,span volume,111,42,29,71,454,ship,baseline,monotonic-signal
g046,latency skew,55,70,22,80,330,ship,edge,drag-penalty
g047,signal loss,31,51,20,89,215,ship,recovery,confidence-floor
g048,incident shape,110,9,42,55,303,ship,negative,lane-boundary
g049,span volume,65,61,33,86,303,ship,baseline,monotonic-signal
g050,latency skew,46,54,9,20,267,ship,edge,drag-penalty
g051,signal loss,40,53,41,77,138,watch,recovery,confidence-floor
g052,incident shape,41,55,16,67,261,ship,negative,lane-boundary
g053,span volume,45,59,5,67,340,ship,baseline,monotonic-signal
g054,latency skew,94,39,22,28,372,ship,edge,drag-penalty
g055,signal loss,78,21,32,56,250,ship,recovery,confidence-floor
g056,incident shape,30,14,39,32,-15,hold,negative,lane-boundary
g057,span volume,97,48,23,67,436,ship,baseline,monotonic-signal
g058,latency skew,90,68,16,46,462,ship,edge,drag-penalty
g059,signal loss,90,45,28,83,393,ship,recovery,confidence-floor
g060,incident shape,50,36,22,25,187,ship,negative,lane-boundary
g061,span volume,33,34,41,39,34,hold,baseline,monotonic-signal
g062,latency skew,116,71,31,50,501,ship,edge,drag-penalty
g063,signal loss,86,57,7,60,483,ship,recovery,confidence-floor
g064,incident shape,106,52,38,70,408,ship,negative,lane-boundary
g065,span volume,75,52,13,79,418,ship,baseline,monotonic-signal
g066,latency skew,107,20,23,88,441,ship,edge,drag-penalty
g067,signal loss,83,41,30,54,318,ship,recovery,confidence-floor
g068,incident shape,30,19,14,85,173,watch,negative,lane-boundary
g069,span volume,51,11,7,105,296,ship,baseline,monotonic-signal
g070,latency skew,109,44,5,76,575,ship,edge,drag-penalty
g071,signal loss,54,63,27,66,273,ship,recovery,confidence-floor
g072,incident shape,74,40,18,66,352,ship,negative,lane-boundary
g073,span volume,43,66,36,27,151,watch,baseline,monotonic-signal
g074,latency skew,75,47,26,55,319,ship,edge,drag-penalty
g075,signal loss,95,75,43,31,346,ship,recovery,confidence-floor
g076,incident shape,64,56,32,66,274,ship,negative,lane-boundary
g077,span volume,96,14,7,45,422,ship,baseline,monotonic-signal
g078,latency skew,72,66,17,82,417,ship,edge,drag-penalty
g079,signal loss,63,59,24,24,274,ship,recovery,confidence-floor
g080,incident shape,106,58,8,38,538,ship,negative,lane-boundary
g081,span volume,87,60,43,49,302,ship,baseline,monotonic-signal
g082,latency skew,81,64,13,59,446,ship,edge,drag-penalty
g083,signal loss,82,44,7,69,450,ship,recovery,confidence-floor
g084,incident shape,86,26,26,78,344,ship,negative,lane-boundary
g085,span volume,47,19,16,87,233,ship,baseline,monotonic-signal
g086,latency skew,31,53,34,53,113,hold,edge,drag-penalty
